year,month,day,AQI
2014,1,3,182
2014,1,4,131
2014,1,5,140
2014,1,6,99
2014,1,7,87
2014,1,9,51
2014,1,10,179
2014,1,12,281
2014,2,3,93
2014,2,4,66
2014,2,5,125
2014,2,6,129
2014,2,7,79
2014,2,9,83
2014,2,10,141
2014,2,11,141
2014,2,12,301
2014,2,17,125
2014,2,18,122
2014,2,19,142
2014,2,20,253
2014,2,21,321
2014,2,22,282
2014,2,23,276
2014,2,24,130
2014,2,25,141
2014,2,26,174
2014,2,27,260
2014,2,28,223
2014,3,3,111
2014,3,4,176
2014,3,5,107
2014,3,6,84
2014,3,7,105
2014,3,9,79
2014,3,10,141
2014,3,11,145
2014,3,12,259
2014,3,13,338
2014,3,14,279
2014,3,15,284
2014,3,16,288
2014,3,17,353
2014,3,18,261
2014,3,19,188
2014,3,20,170
2014,3,21,191
2014,3,22,177
2014,3,23,142
2014,3,24,169
2014,3,25,143
2014,3,26,154
2014,3,27,192
2014,3,28,107
2014,3,29,189
2014,3,30,158
2014,4,3,140
2014,4,4,185
2014,4,5,133
2014,4,6,103
2014,4,7,91
2014,4,9,68
2014,4,10,117
2014,4,11,172
2014,4,12,240
2014,4,13,186
2014,4,14,181
2014,4,15,256
2014,4,16,292
2014,4,17,170
2014,4,18,183
2014,4,19,204
2014,4,20,307
2014,4,21,263
2014,4,22,197
2014,4,23,286
2014,4,24,145
2014,4,25,107
2014,4,26,145
2014,4,27,120
2014,4,28,133
2014,4,29,115
2014,4,30,89
2014,5,3,158
2014,5,4,107
2014,5,5,41
2014,5,6,110
2014,5,7,77
2014,5,9,52
2014,5,10,147
2014,5,11,125
2014,5,12,190
2014,5,13,102
2014,5,14,132
2014,5,15,139
2014,5,16,65
2014,5,17,144
2014,5,18,174
2014,5,19,170
2014,5,20,140
2014,5,21,116
2014,5,22,79
2014,5,23,65
2014,5,24,81
2014,5,25,81
2014,5,26,77
2014,5,27,78
2014,5,28,96
2014,5,30,79
2014,5,31,128
2014,6,3,321
2014,6,4,157
2014,6,5,140
2014,6,6,93
2014,6,7,99
2014,6,9,48
2014,6,10,97
2014,6,11,146
2014,6,12,276
2014,6,13,155
2014,6,14,111
2014,6,15,90
2014,6,16,88
2014,6,18,62
2014,6,19,65
2014,6,20,56
2014,6,21,61
2014,6,22,59
2014,6,23,97
2014,6,24,121
2014,6,25,103
2014,6,26,116
2014,6,27,108
2014,6,28,109
2014,6,29,117
2014,6,30,101
2014,7,3,316
2014,7,4,146
2014,7,5,61
2014,7,6,61
2014,7,7,106
2014,7,9,22
2014,7,10,66
2014,7,11,57
2014,7,12,211
2014,7,13,33
2014,7,14,48
2014,7,15,38
2014,7,16,45
2014,7,17,43
2014,7,18,48
2014,7,19,43
2014,7,20,51
2014,7,21,52
2014,7,22,79
2014,7,23,80
2014,7,24,75
2014,7,25,62
2014,8,4,105
2014,8,5,54
2014,8,6,55
2014,8,7,96
2014,8,9,35
2014,8,10,73
2014,8,11,47
2014,8,12,290
2014,8,21,116
2014,8,22,70
2014,8,23,49
2014,8,24,42
2014,8,25,47
2014,8,26,52
2014,8,27,67
2014,8,28,59
2014,8,29,55
2014,8,30,37
2014,8,31,27
2014,9,3,165
2014,9,4,105
2014,9,5,44
2014,9,6,75
2014,9,7,91
2014,9,9,55
2014,9,10,141
2014,9,11,47
2014,9,12,314
2014,9,13,56
2014,9,14,60
2014,9,15,55
2014,9,16,55
2014,9,17,76
2014,9,18,50
2014,9,19,34
2014,9,20,34
2014,9,21,53
2014,9,22,42
2014,9,23,51
2014,9,24,65
2014,9,25,55
2014,9,26,69
2014,9,27,113
2014,9,28,148
2014,9,29,170
2014,9,30,195
2014,10,3,205
2014,10,4,132
2014,10,5,55
2014,10,6,67
2014,10,7,88
2014,10,9,59
2014,10,10,124
2014,10,11,48
2014,10,12,223
2014,10,13,37
2014,10,14,66
2014,10,15,95
2014,10,16,102
2014,10,17,116
2014,10,18,129
2014,10,19,164
2014,10,20,152
2014,10,21,161
2014,10,22,159
2014,10,23,158
2014,10,24,167
2014,10,25,155
2014,10,26,163
2014,10,27,88
2014,10,28,78
2014,10,29,80
2014,10,30,117
2014,10,31,120
2014,11,3,242
2014,11,4,162
2014,11,5,76
2014,11,6,70
2014,11,7,70
2014,11,9,66
2014,11,10,73
2014,11,11,139
2014,11,12,208
2014,11,13,199
2014,11,14,243
2014,11,15,217
2014,11,16,326
2014,11,17,325
2014,11,18,229
2014,11,19,190
2014,11,20,236
2014,11,21,193
2014,11,22,331
2014,11,23,325
2014,11,24,280
2014,11,25,292
2014,11,26,321
2014,11,27,332
2014,11,28,323
2014,11,29,308
2014,11,30,276
2014,12,3,295
2014,12,4,159
2014,12,5,76
2014,12,6,123
2014,12,7,49
2014,12,9,52
2014,12,10,38
2014,12,11,195
2014,12,12,189
2014,12,13,194
2014,12,14,186
2014,12,15,198.5
2014,12,16,139
2014,12,17,141
2014,12,18,150
2014,12,19,116
2014,12,20,138
2014,12,21,141.5
2014,12,22,142
2014,12,23,147.5
2014,12,24,153.5
2014,12,25,134.5
2014,12,26,178.5
2014,12,27,226
2014,12,28,182.5
2014,12,29,192.5
2014,12,30,213
2014,12,31,235
2015,1,1,145
2015,1,2,193
2015,1,3,170
2015,1,4,115
2015,1,5,91
2015,1,6,66
2015,1,7,50
2015,1,9,46
2015,1,10,101
2015,1,11,54
2015,1,12,233
2015,1,13,158
2015,1,14,212
2015,1,15,211
2015,1,16,157
2015,1,17,178
2015,1,18,152
2015,1,19,241
2015,1,20,252
2015,1,20,205
2015,1,21,229
2015,1,22,350
2015,1,23,330
2015,1,24,339
2015,1,25,194
2015,1,26,196
2015,1,27,311
2015,1,28,292
2015,1,29,188
2015,1,30,167
2015,1,31,226
2015,2,1,157
2015,2,2,163
2015,2,3,189
2015,2,4,92
2015,2,5,87
2015,2,6,64
2015,2,7,33
2015,2,9,46
2015,2,10,103
2015,2,11,125
2015,2,12,230
2015,2,13,266
2015,2,14,202
2015,2,15,318
2015,2,16,295
2015,2,17,258
2015,2,18,279
2015,2,19,192
